gameid,gamecode,dt_et,seriesdesc,arena,city,status,statustext,home_tid,away_tid,home_ta,away_ta,home_score,away_score,Season,date,t_et
0011500001,20151002/DENLAC,2015-10-02T22:30:00,,Staples Center,Los Angeles,3,Final,1610612746,1610612743,LAC,DEN,103,96,2015-2016,2015-10-02,22:30:00
0011500002,20151003/CHAORL,2015-10-03T19:00:00,,Amway Center,Orlando,3,Final,1610612753,1610612766,ORL,CHA,100,106,2015-2016,2015-10-03,19:00:00
0011500003,20151003/NOPIND,2015-10-03T19:00:00,,Bankers Life Fieldhouse,Indianapolis,3,Final,1610612754,1610612740,IND,NOP,105,110,2015-2016,2015-10-03,19:00:00
0011500006,20151004/CHAMIA,2015-10-04T18:00:00,,AmericanAirlines Arena,Miami,3,Final,1610612748,1610612766,MIA,CHA,77,90,2015-2016,2015-10-04,18:00:00
0011500005,20151004/LACTOR,2015-10-04T19:00:00,,Rogers Arena,Vancouver,3,Final,1610612761,1610612746,TOR,LAC,93,73,2015-2016,2015-10-04,19:00:00
0011500004,20151004/UTALAL,2015-10-04T21:00:00,,Stan Sheriff Center,Honolulu,3,Final,1610612747,1610612762,LAL,UTA,71,90,2015-2016,2015-10-04,21:00:00
0011500008,20151005/FENBKN,2015-10-05T19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,12321,BKN,FEN,96,101,2015-2016,2015-10-05,19:30:00
0011500007,20151005/SACPOR,2015-10-05T22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612758,POR,SAC,105,109,2015-2016,2015-10-05,22:00:00
0011500009,20151005/TORGSW,2015-10-05T22:30:00,,SAP Center,San Jose,3,Final,1610612744,1610612761,GSW,TOR,95,87,2015-2016,2015-10-05,22:30:00
0011500016,20151006/BOSMLN,2015-10-06T14:30:00,,Mediolanum Forum,"Milan, Italy",3,Final,94,1610612738,MLN,BOS,91,124,2015-2016,2015-10-06,14:30:00
0011500011,20151006/PHIWAS,2015-10-06T19:00:00,,Verizon Center,Washington,3,Final,1610612764,1610612755,WAS,PHI,129,95,2015-2016,2015-10-06,19:00:00
0011500014,20151006/INDDET,2015-10-06T19:30:00,,Palace of Auburn Hills,Detroit,3,Final,1610612765,1610612754,DET,IND,112,115,2015-2016,2015-10-06,19:30:00
0011500012,20151006/MILCHI,2015-10-06T20:00:00,,United Center,Chicago,3,Final,1610612741,1610612749,CHI,MIL,105,95,2015-2016,2015-10-06,20:00:00
0011500013,20151006/HOUMEM,2015-10-06T20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612745,MEM,HOU,92,89,2015-2016,2015-10-06,20:00:00
0011500015,20151006/DENDAL,2015-10-06T20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612743,DAL,DEN,86,96,2015-2016,2015-10-06,20:30:00
0011500010,20151007/UTALAL,2015-10-07T00:00:00,,Stan Sheriff Center,Honolulu,3,Final,1610612747,1610612762,LAL,UTA,114,117,2015-2016,2015-10-07,00:00:00
0011500017,20151007/ATLCLE,2015-10-07T19:00:00,,Cintas Center,Cincinnati,3,Final,1610612739,1610612737,CLE,ATL,96,98,2015-2016,2015-10-07,19:00:00
0011500021,20151007/BAUNYK,2015-10-07T19:30:00,,Madison Square Garden,New York,3,Final,1610612752,12328,NYK,BAU,100,81,2015-2016,2015-10-07,19:30:00
0011500022,20151007/ORLMIA,2015-10-07T19:30:00,,KFC Yum! Center,Louisville,3,Final,1610612748,1610612753,MIA,ORL,97,100,2015-2016,2015-10-07,19:30:00
0011500018,20151007/OKCMIN,2015-10-07T20:00:00,,Target Center,Minneapolis,3,Final,1610612750,1610612760,MIN,OKC,99,122,2015-2016,2015-10-07,20:00:00
0011500019,20151007/DALHOU,2015-10-07T20:00:00,,Toyota Center,Houston,3,Final,1610612745,1610612742,HOU,DAL,109,82,2015-2016,2015-10-07,20:00:00
0011500020,20151007/SACPHX,2015-10-07T22:00:00,,Talking Stick Resort Arena,Phoenix,3,Final,1610612756,1610612758,PHX,SAC,102,98,2015-2016,2015-10-07,22:00:00
0011500030,20151008/BOSRMD,2015-10-08T15:00:00,,Barclaycard Center,"Madrid, Spain",3,Final,12315,1610612738,RMD,BOS,96,111,2015-2016,2015-10-08,15:00:00
0011500023,20151008/CLEPHI,2015-10-08T19:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612739,PHI,CLE,115,114,2015-2016,2015-10-08,19:00:00
0011500033,20151008/ORLIND,2015-10-08T19:00:00,,Bankers Life Fieldhouse,Indianapolis,3,Final,1610612754,1610612753,IND,ORL,97,92,2015-2016,2015-10-08,19:00:00
0011500029,20151008/BKNDET,2015-10-08T19:30:00,,Palace of Auburn Hills,Detroit,3,Final,1610612765,1610612751,DET,BKN,83,93,2015-2016,2015-10-08,19:30:00
0011500024,20151008/MACMEM,2015-10-08T20:00:00,,FedExForum,Memphis,3,Final,1610612763,93,MEM,MAC,97,84,2015-2016,2015-10-08,20:00:00
0011500025,20151008/CHIDEN,2015-10-08T21:00:00,,Coors Event Center,Boulder,3,Final,1610612743,1610612741,DEN,CHI,112,94,2015-2016,2015-10-08,21:00:00
0011500026,20151008/GSWPOR,2015-10-08T22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612744,POR,GSW,118,101,2015-2016,2015-10-08,22:00:00
0011500027,20151008/SASSAC,2015-10-08T22:00:00,,Sleep Train Arena,Sacramento,3,Final,1610612758,1610612759,SAC,SAS,95,92,2015-2016,2015-10-08,22:00:00
0011500028,20151008/TORLAL,2015-10-08T22:00:00,,Citizens Business Bank Arena,Ontario,3,Final,1610612747,1610612761,LAL,TOR,97,105,2015-2016,2015-10-08,22:00:00
0011500031,20151009/NYKWAS,2015-10-09T19:00:00,,Verizon Center,Washington,3,Final,1610612764,1610612752,WAS,NYK,104,115,2015-2016,2015-10-09,19:00:00
0011500032,20151009/ATLNOP,2015-10-09T19:00:00,,Veterans Memorial Arena,Jacksonville,3,Final,1610612740,1610612737,NOP,ATL,93,103,2015-2016,2015-10-09,19:00:00
0011500034,20151009/FENOKC,2015-10-09T20:00:00,,Chesapeake Energy Arena,Oklahoma City,3,Final,1610612760,12321,OKC,FEN,111,81,2015-2016,2015-10-09,20:00:00
