ID,id_count,Abbreviation,Full Name,NICKNAME,City,State,Arena ,Division,Conference,YEAR_FOUNDED,TEAM_URL,G-LEAGUE,HEAD COACH,ASSOCIATE HEAD COACH,ASSISTANT COACH,ASSISTANT COACH FOR PLAYER DEVELOPMENT,TRAINER,ASSISTANT TRAINER,INTERIM HEAD COACH,STRENGTH AND CONDITIONING COACH,GENERAL MANAGER,GOVERNOR(S),CHAMPIONSHIP WINS,CONFERENCE TITLES,DIVISION TITLES
1610612737,1,ATL,Atlanta Hawks,Hawks,Atlanta,GA,State Farm Arena,Southeast,Eastern,1949,https://www.nba.com/team/1610612737/hawks,College Park Skyhawks,Quin Snyder,,"Bryan Bailey, Mike Brey, Brittni Donaldson, Steve Klei, Igor Kokoskov, Antonio Lang, Sanjay Lumpkin, Ekpe Udoh, Jeff Watkinson",Reggis Onwukamuche,Scottie Parker,John Dusel,,,Travis Schlenk,Tony Ressler,1,0,13
1610612738,2,BOS,Boston Celtics,Celtics,Boston,MA,TD Garden,Atlantic,Eastern,1946,https://www.nba.com/team/1610612738/celtics,Maine Celtics,Joe Mazzulla,,"Tony Dobbins, Matthew Reynolds, DJ MacLeay, Amile Jefferson, Charles Lee, Sam Cassell",,"Art Horne, Patrick Chasse",,,,Brad Stevens,Wyc Grousbeck,17,10,33
1610612751,3,BKN,Brooklyn Nets,Nets,Brooklyn,NY,Barclays Center,Atlantic,Eastern,1976,https://www.nba.com/team/1610612751/nets,Long Island Nets,Jacque Vaughn,,"Kevin Ollie, Will Weaver, Jay Hernandez, Adam Caporn, Trevor Hendry, Ryan Forehan-Kelly, Ronnie Burrell, Corey Vinson",,,,,,Sean Marks,Joe Tsai,0,2,4
1610612766,4,CHA,Charlotte Hornets,Hornets,Charlotte,NC,Spectrum Center,Southeast,Eastern,1988,https://www.nba.com/team/1610612766/hornets,Greensboro Swarm,Steve Clifford,,"Rex Walters, Marlon Garnett, Bob Beyer, Ty Corbin, Norm Richardson, Bruce Kreutzer, Nick Friedman",,Joe Sharpe,,,,Mitch Kupchak,Michael Jordan,0,0,0
1610612741,5,CHI,Chicago Bulls,Bulls,Chicago,IL,United Center,Central,Eastern,1966,https://www.nba.com/team/1610612741/bulls,Windy City Bulls,Billy Donovan,,"Maurice Cheeks, John Byrant, Joshua Longstaff, Chris Fleming, Damian Cotter, Billy Schmidt",,Todd Campbell,,,,Arturas Karnisovas,Michael Reinsdorf,6,6,9
1610612739,6,CLE,Cleveland Cavaliers,Cavaliers,Cleveland,OH,Rocket Mortgage FieldHouse,Central,Eastern,1970,https://www.nba.com/team/1610612739/cavaliers,Cleveland Charge,JB Bickerstaff,Greg Buckner,"Sidney Lowe, Luke Walton, JJ Outlaw",,Stephen Spiro,,,,Koby Altman,Dan Gilbert,1,5,7
1610612742,7,DAL,Dallas Mavericks,Mavericks,Dallas,TX,American Airlines Center,Southwest,Western,1980,https://www.nba.com/team/1610612742/mavericks,Texas Legends,Jason Kidd,,"Marko Milic, Alex Jensen, Jared Dudley, Darrell Armstrong, Josh Broghamer, Sean Sweeney, Keith Vaney, Eric Hughes",God Shammgod,Dionne Calhoun,Heather Mau,,,Nico Harrison,Mark Cuban,1,2,4
1610612743,8,DEN,Denver Nuggets,Nuggets,Denver,CO,Ball Arena,Northwest,Western,1976,https://www.nba.com/team/1610612743/nuggets,Grand Rapids Gold,Michael Malone,,"Popeye Jones, Ryan Saunders, Charles  Klask , Ryan Bowen, David Adelman, John Beckett, Ognjen Stojakovic, Elvis Valcarcel",,Dan Shimensky,,,,Calvin Booth,Stan Kroenke,1,1,10
1610612765,9,DET,Detroit Pistons,Pistons,Detroit,MI,Little Caesars Arena,Central,Eastern,1948,https://www.nba.com/team/1610612765/pistons,Motor City Cruise,Monty Williams,,"Brian Randle, Steve Scalzi, Mark Bryant, Jarrett Jack, Dan Burke, Stephen Silas",,"Rachel Cutts, Alex Garland",,,Jordan Sabourin,Ed Stefanski,Tom Gores,3,5,11
1610612744,10,GSW,Golden State Warriors,Warriors,San Francisco,CA,Chase Center,Pacific,Western,1946,https://www.nba.com/team/1610612744/warriors,Santa Cruz Warriors,Steve Kerr,,"Ron Adams, Kenny Atkinson, Bruce Fraser, Chris DeMarco, Dejan Milojevic, Kris Weems","Hilton Armstrong, Anthony Vereen, Jacob Rubin",Drew Yoder,,,,Mike Dunleavy Jr.,Joe Lacob,7,7,12
